doc.value,author.value,author_name.value,coauthors.value
https://data.archives-ouvertes.fr/document/hal-01146259v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Adorjan Kiss&https://data.archives-ouvertes.fr/author/1161283--Agostino Poggi&https://data.archives-ouvertes.fr/author/1161286--Alain Giboin&https://data.archives-ouvertes.fr/author/alain-giboin--Alexandre Delteil&https://data.archives-ouvertes.fr/author/128925--Bruno Fies&https://data.archives-ouvertes.fr/author/747432--Emmanuelle Loyson&https://data.archives-ouvertes.fr/author/1161284--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Giovanni Rimassa&https://data.archives-ouvertes.fr/author/1161287--Hervé Karp&https://data.archives-ouvertes.fr/author/1161282--Joachim Hackstein&https://data.archives-ouvertes.fr/author/1161281--Joël Quinqueton&https://data.archives-ouvertes.fr/author/169911--Laurent Berthelot&https://data.archives-ouvertes.fr/author/1161280--Marc Bourdeau&https://data.archives-ouvertes.fr/author/1137521--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby--Paola Turci&https://data.archives-ouvertes.fr/author/1161288--Philippe Perez&https://data.archives-ouvertes.fr/author/1161285--Rose Dieng-Kuntz&https://data.archives-ouvertes.fr/author/98115
https://data.archives-ouvertes.fr/document/hal-01187400v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Zide Meng&https://data.archives-ouvertes.fr/author/1088782
https://data.archives-ouvertes.fr/document/hal-02064421v2,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,David Darmon&https://data.archives-ouvertes.fr/author/david-darmon--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Raphaël Gazzotti&https://data.archives-ouvertes.fr/author/rgazzott--Virginie Lacroix-Hugues&https://data.archives-ouvertes.fr/author/1472363
https://data.archives-ouvertes.fr/document/hal-01856365v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Franck Michel&https://data.archives-ouvertes.fr/author/fmichel
https://data.archives-ouvertes.fr/document/hal-01958480v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Cédric Lopez&https://data.archives-ouvertes.fr/author/740780--Elena Cabrio&https://data.archives-ouvertes.fr/author/1184174--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Frédérique Segond&https://data.archives-ouvertes.fr/author/frederique-segond--Molka Tounsi Dhouib&https://data.archives-ouvertes.fr/author/molka-tounsi-dhouib
https://data.archives-ouvertes.fr/document/hal-01302337v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Anne-Marie Dery-Pinna&https://data.archives-ouvertes.fr/author/783218--Christian Brel&https://data.archives-ouvertes.fr/author/605015--Michel Riveill&https://data.archives-ouvertes.fr/author/michel-riveill--Philippe Renevier&https://data.archives-ouvertes.fr/author/philippe-renevier-gonin
https://data.archives-ouvertes.fr/document/hal-01337082v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat
https://data.archives-ouvertes.fr/document/hal-00380309v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Isabelle Mirbel&https://data.archives-ouvertes.fr/author/946519--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
https://data.archives-ouvertes.fr/document/hal-01822455v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Hacène Cherfi&https://data.archives-ouvertes.fr/author/11227153--Khaled Khelif&https://data.archives-ouvertes.fr/author/158547--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
https://data.archives-ouvertes.fr/document/hal-01947589v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Olivier Gargominy&https://data.archives-ouvertes.fr/author/1689511
https://data.archives-ouvertes.fr/document/hal-00813675v2,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Anne-Marie Pinna-Déry&https://data.archives-ouvertes.fr/author/471426--Annie Authosserre-Cavarero&https://data.archives-ouvertes.fr/author/733564--Cyril Faucher&https://data.archives-ouvertes.fr/author/742619--Frédéric Bertrand&https://data.archives-ouvertes.fr/author/frederic-bertrand-l3i--Hubert Dubois&https://data.archives-ouvertes.fr/author/493265--Jean-Yves Lafaye&https://data.archives-ouvertes.fr/author/710405--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Mireille Blay-Fornarino&https://data.archives-ouvertes.fr/author/mireille-blay-fornarino--Olivier Le Goaer&https://data.archives-ouvertes.fr/author/olivier-le-goaer--Philippe Collet&https://data.archives-ouvertes.fr/author/633387--Philippe Lahire&https://data.archives-ouvertes.fr/author/philippe-lahire--Sophie Dupuy-Chessa&https://data.archives-ouvertes.fr/author/sophie-dupuy-chessa--Stéphane Ducasse&https://data.archives-ouvertes.fr/author/stephane-ducasse
https://data.archives-ouvertes.fr/document/hal-01185091v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Alain Zarli&https://data.archives-ouvertes.fr/author/115625--Bruno Fies&https://data.archives-ouvertes.fr/author/1197397--Khalil Riad Bouzidi&https://data.archives-ouvertes.fr/author/996433--Nhan Le Thanh&https://data.archives-ouvertes.fr/author/1100037
https://data.archives-ouvertes.fr/document/hal-01926379v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat
https://data.archives-ouvertes.fr/document/hal-01171123v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
